z_mm,p_abs_Pa
100.8006,1.160968
102.2154,1.168922
103.6302,1.301973
105.0451,1.442841
106.4599,1.500643
107.8747,1.446425
109.2895,1.305333
110.7043,1.140684
112.1191,1.033614
113.5339,1.047300
114.9487,1.183010
116.3635,1.391060
117.7784,1.616542
119.1932,1.817429
120.6080,1.965703
122.0228,2.048892
123.4376,2.072673
124.8524,2.056270
126.2672,2.015870
127.6820,1.951638
129.0968,1.862927
130.5117,1.782193
131.9265,1.775086
133.3413,1.871881
134.7561,2.013880
136.1709,2.103200
137.5857,2.072316
139.0005,1.906822
140.4153,1.640470
141.8301,1.342438
143.2450,1.095303
144.6598,0.951177
146.0746,0.892049
147.4894,0.866122
148.9042,0.849207
150.3190,0.842968
151.7338,0.838062
153.1486,0.798487
154.5634,0.690420
155.9783,0.536083
157.3931,0.453537
158.8079,0.509076
160.2227,0.555219
161.6375,0.514656
163.0523,0.553114
164.4671,0.844544
165.8819,1.213555
167.2967,1.472244
168.7116,1.551369
170.1264,1.538084
171.5412,1.662184
172.9560,2.034966
174.3708,2.480652
175.7856,2.772431
177.2004,2.789448
178.6152,2.538081
180.0300,2.138137
181.4449,1.790641
182.8597,1.669215
184.2745,1.729566
185.6893,1.777411
187.1041,1.702224
188.5189,1.535535
189.9337,1.389523
191.3485,1.324701
192.7633,1.279615
194.1781,1.188071
195.5930,1.081594
197.0078,1.033985
198.4226,1.030285
199.8374,0.988060
201.2522,0.897727
202.6670,0.869581
204.0818,0.997956
205.4966,1.200005
206.9114,1.338326
208.3263,1.334052
209.7411,1.194792
211.1559,1.048331
212.5707,1.083755
213.9855,1.266573
215.4003,1.378153
216.8151,1.296156
218.2299,1.094400
219.6447,1.111899
221.0596,1.565094
222.4744,2.173947
223.8892,2.672598
225.3040,2.928778
226.7188,2.914570
228.1336,2.689894
229.5484,2.364351
230.9632,2.027597
232.3780,1.691809
233.7929,1.319067
235.2077,0.913945
236.6225,0.601188
238.0373,0.569542
239.4521,0.668741
240.8669,0.695636
242.2817,0.716515
243.6965,0.889737
245.1113,1.148609
246.5262,1.313048
247.9410,1.299702
249.3558,1.184664
250.7706,1.187844
252.1854,1.407145
253.6002,1.655454
255.0150,1.751805
256.4298,1.678177
257.8446,1.592711
259.2595,1.711706
260.6743,2.021896
262.0891,2.301409
263.5039,2.361708
264.9187,2.130212
266.3335,1.672308
267.7483,1.247969
269.1631,1.281807
270.5779,1.686667
271.9928,2.025457
273.4076,2.077339
274.8224,1.785468
276.2372,1.212323
277.6520,0.549009
279.0668,0.445238
280.4816,0.840589
281.8964,1.027048
283.3112,0.973804
284.7260,0.791964
286.1409,0.615167
287.5557,0.524590
288.9705,0.592529
290.3853,0.862771
291.8001,1.231300
293.2149,1.557603
294.6297,1.746854
296.0445,1.781105
297.4593,1.731658
298.8742,1.729813
300.2890,1.857933
301.7038,2.053772
303.1186,2.184909
304.5334,2.179407
305.9482,2.096071
307.3630,2.099693
308.7778,2.278832
310.1926,2.511427
311.6075,2.610916
313.0223,2.477347
314.4371,2.123713
315.8519,1.654046
317.2667,1.229107
318.6815,0.988346
320.0963,0.899839
321.5111,0.805305
322.9259,0.629381
324.3408,0.400228
325.7556,0.187846
327.1704,0.089900
328.5852,0.129803
329.0715,0.144214
330.0000,0.160995
